,title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
0,Gravity Ace,,,,,,(16 reviews),John Watson,John Watson,Positive,,"TITLE: Gravity Ace
GENRE: Action, Indie, Early Access
DEVELOPER: John Watson
PUBLISHER: John Watson
RELEASE DATE: 22 Oct, 2020
EARLY ACCESS RELEASE DATE: 22 Oct, 2020","22 Oct, 2020",Shoot 'Em Up Twin Stick Shooter Shooter 2D +,
1,KALEIDO STELLA,Bundle info,,,,,(11 reviews),CHARON,CHARON,Positive,,"TITLE: KALEIDO STELLA
GENRE: Adventure, Indie
DEVELOPER: CHARON, Kaoru Nekofuji
PUBLISHER: CHARON
RELEASE DATE: 30 Jan, 2019","30 Jan, 2019",Adventure Indie Anime Visual Novel +,
2,Heroes of a Broken Land 2,,,,,,(15 reviews),Winged Pixel Inc.,Winged Pixel Inc.,Positive,,"TITLE: Heroes of a Broken Land 2
GENRE: Indie, RPG, Strategy, Early Access
DEVELOPER: Winged Pixel Inc.
PUBLISHER: Winged Pixel Inc.
FRANCHISE: Heroes of a Broken Land
RELEASE DATE: 30 Sep, 2019
EARLY ACCESS RELEASE DATE: 30 Sep, 2019","30 Sep, 2019",RPG Indie Early Access Strategy Turn-Based +,15.0
3,Mission Critical,,,,,,(10 reviews),Legend Entertainment,Ziggurat,Positive,,"TITLE: Mission Critical
GENRE: Adventure, Strategy
DEVELOPER: Legend Entertainment
PUBLISHER: Ziggurat
RELEASE DATE: 28 Jan, 2019","28 Jan, 2019",Adventure Strategy FMV +,
4,Fairy Picturebook of Hero and Sorceress / 勇者と魔法使いとおとぎの絵本,,,,,,(31 reviews),BouSoft,BouSoft,Positive,,"TITLE: Fairy Picturebook of Hero and Sorceress / 勇者と魔法使いとおとぎの絵本
GENRE: Adventure, Indie, RPG, Simulation
DEVELOPER: BouSoft
PUBLISHER: BouSoft
RELEASE DATE: 1 Feb, 2019","1 Feb, 2019",RPG Indie Adventure Simulation Nudity +,
5,Project Hedra,,,,,,(12 reviews),Maximiliano Levi,Maximiliano Levi,Positive,,"TITLE: Project Hedra
GENRE: Action, Adventure, Casual, Indie, RPG, Early Access
DEVELOPER: Maximiliano Levi
PUBLISHER: Maximiliano Levi
RELEASE DATE: 29 Jan, 2020
EARLY ACCESS RELEASE DATE: 29 Jan, 2020","29 Jan, 2020",Indie Action Early Access Casual RPG 3D +,
6,UNI,,,,,,(11 reviews),Game Museum,Game Museum,Positive,,"TITLE: UNI
GENRE: Action, Casual, Indie
DEVELOPER: Game Museum
PUBLISHER: Game Museum
RELEASE DATE: 1 Apr, 2019","1 Apr, 2019",Indie Casual Action Minigames Party Game +,
7,Legal Dungeon,Bundle info,,,,,(335 reviews),Somi,Somi,Mostly Positive,,"TITLE: Legal Dungeon
GENRE: Adventure, Indie, Simulation
DEVELOPER: Somi
PUBLISHER: Somi
FRANCHISE: Somi
RELEASE DATE: 6 May, 2019","6 May, 2019",Indie Simulation Adventure Pixel Graphics +,
8,Drag Star!,Bundle info,,,,,(20 reviews),Choice of Games,Choice of Games,Positive,,"TITLE: Drag Star!
GENRE: Adventure, Indie, RPG
DEVELOPER: Choice of Games
PUBLISHER: Choice of Games
RELEASE DATE: 14 Mar, 2019","14 Mar, 2019",Adventure Indie RPG Text-Based LGBTQ+ +,
9,aMAZE St.Patrick,Bundle info,,,,,(13 reviews),Blender Games,Blender Games,Positive,,"TITLE: aMAZE St.Patrick
GENRE: Casual, Indie
DEVELOPER: Blender Games
PUBLISHER: Blender Games
FRANCHISE: aMAZE
RELEASE DATE: 1 Feb, 2019","1 Feb, 2019",Indie Casual Relaxing Puzzle 2D Difficult +,
10,Hammer & Anvil VR,"3,99€",,,,,(42 reviews),Thibaut Blanca,Thibaut Blanca,Mostly Positive,,"TITLE: Hammer & Anvil VR
GENRE: Casual, Indie, RPG, Simulation
DEVELOPER: Thibaut Blanca
PUBLISHER: Thibaut Blanca
RELEASE DATE: 31 Jan, 2019","31 Jan, 2019",Indie Casual Simulation RPG VR +,
11,Mr.Hack Jack: Robot Detective,"12,49€",,,,,(27 reviews),Donuts Co. Ltd.,Donuts Co. Ltd.,Positive,,"TITLE: Mr.Hack Jack: Robot Detective
GENRE: Adventure, Casual
DEVELOPER: Donuts Co. Ltd.
PUBLISHER: Donuts Co. Ltd.
RELEASE DATE: 10 May, 2019","10 May, 2019",Casual Adventure VR Detective Puzzle +,
12,Chipmonk!,,,,,,(11 reviews),Niemi Bros Entertainment,Niemi Bros Entertainment,Positive,,"TITLE: Chipmonk!
GENRE: Action, Indie
DEVELOPER: Niemi Bros Entertainment
PUBLISHER: Niemi Bros Entertainment
RELEASE DATE: 20 Nov, 2019","20 Nov, 2019",Action Indie Pixel Graphics Retro Funny +,4.0
13,ARCADE,Bundle info,,,,,(15 reviews),EYEFRONT,EYEFRONT,Positive,,"TITLE: ARCADE
GENRE: Action, Adventure, Casual, Massively Multiplayer
DEVELOPER: EYEFRONT
PUBLISHER: EYEFRONT
FRANCHISE: ARCADE
RELEASE DATE: 14 Oct, 2020","14 Oct, 2020",Action Casual Adventure Old School Difficult +,
14,Church Era,,,,,,(30 reviews),Kuang-Yu Cheng,Kuang-Yu Cheng,Positive,,"TITLE: Church Era
GENRE: Casual, Indie, RPG, Strategy, Early Access
DEVELOPER: Kuang-Yu Cheng, Fan-Ting Tseng
PUBLISHER: Kuang-Yu Cheng
RELEASE DATE: 24 May, 2019
EARLY ACCESS RELEASE DATE: 24 May, 2019","24 May, 2019",Indie Strategy Early Access Casual RPG +,
15,Red Room,,,,,,(19 reviews),"Cheong TV (Cheongil TV, Jangfolk)","Cheong TV (Cheongil TV, Jangfolk)",Positive,,"TITLE: Red Room
GENRE: Adventure, Indie, Simulation
DEVELOPER: Cheong TV (Cheongil TV, Jangfolk)
PUBLISHER: Cheong TV (Cheongil TV, Jangfolk)
RELEASE DATE: 24 Aug, 2019","24 Aug, 2019",Indie Adventure Simulation Horror Difficult +,
16,Lootbox Lyfe,Bundle info,,,,,(23 reviews),Conradical Games,Conradical Games,Positive,,"TITLE: Lootbox Lyfe
GENRE: Adventure, Indie
DEVELOPER: Conradical Games
PUBLISHER: Conradical Games
RELEASE DATE: 28 Feb, 2020","28 Feb, 2020",Indie Adventure Metroidvania Platformer +,
17,Seven Bullets Zombie Apocalypse,Bundle info,,,,,(16 reviews),Skull Box Games,КиКо,Positive,,"TITLE: Seven Bullets Zombie Apocalypse
GENRE: Action
DEVELOPER: Skull Box Games
PUBLISHER: КиКо
FRANCHISE: kuko games
RELEASE DATE: 18 Apr, 2019","18 Apr, 2019",Action Zombies 2D Pixel Graphics +,
18,You Died but a Necromancer revived you,,,,,,(20 reviews),BolHut,BolHut,Positive,,"TITLE: You Died but a Necromancer revived you
GENRE: Casual, Indie
DEVELOPER: BolHut
PUBLISHER: BolHut
RELEASE DATE: 19 Apr, 2019","19 Apr, 2019",Casual PvP Difficult Arcade 2D Cute +,
19,BIOSZARD Corporation,Bundle info,,,,,(20 reviews),KomBits Game Studio,KomBits Game Studio,Positive,,"TITLE: BIOSZARD Corporation
GENRE: Action, Adventure, Indie
DEVELOPER: KomBits Game Studio
PUBLISHER: KomBits Game Studio
RELEASE DATE: 3 May, 2019","3 May, 2019",Indie Action Adventure Top-Down Shooter +,
20,Dead Monarchy,,,,,,(48 reviews),Dead Monarchy Studios,Dead Monarchy Studios,Positive,,"TITLE: Dead Monarchy
GENRE: Indie, RPG, Strategy, Early Access
DEVELOPER: Dead Monarchy Studios
PUBLISHER: Dead Monarchy Studios
RELEASE DATE: 18 Jun, 2019
EARLY ACCESS RELEASE DATE: 18 Jun, 2019","18 Jun, 2019",Indie Strategy RPG Sexual Content Violent +,
21,Eternal Journey: New Atlantis,Bundle info,,,,,(13 reviews),Five BN,Alawar Entertainment,Positive,,"TITLE: Eternal Journey: New Atlantis
GENRE: Adventure, Casual, Indie
DEVELOPER: Five BN
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 24 Aug, 2012","24 Aug, 2012",Casual Adventure Indie Hidden Object +,
22,GOD WARS The Complete Legend,Bundle info,,,,,(119 reviews),"KADOKAWA GAMES, LTD.","KADOKAWA GAMES, LTD.",Mostly Positive,,"TITLE: GOD WARS The Complete Legend
GENRE: Adventure, RPG, Simulation
DEVELOPER: KADOKAWA GAMES, LTD.
PUBLISHER: KADOKAWA GAMES, LTD.
RELEASE DATE: 13 Jun, 2019","13 Jun, 2019",RPG Adventure Simulation Tactical RPG +,
23,Mace and Grace: action fight blood fitness arcade,"8,19€",,,,,(26 reviews),PlatformaVR,PlatformaVR,Positive,,"TITLE: Mace and Grace: action fight blood fitness arcade
GENRE: Action, Casual, Indie, Sports
DEVELOPER: PlatformaVR
PUBLISHER: PlatformaVR
RELEASE DATE: 8 May, 2020
EARLY ACCESS RELEASE DATE: 15 May, 2019","8 May, 2020",Casual Indie Sports Action VR Gore +,
24,Tipping Point,,,,,,(12 reviews),Dan Russell-Pinson,"Freecloud Design, Inc.",Positive,,"TITLE: Tipping Point
GENRE: Adventure
DEVELOPER: Dan Russell-Pinson
PUBLISHER: Freecloud Design, Inc.
RELEASE DATE: 28 Nov, 2007","28 Nov, 2007",Adventure +,
25,Alexio,Bundle info,,,,,(20 reviews),Duck team,Duck team,Positive,,"TITLE: Alexio
GENRE: Adventure, Indie
DEVELOPER: Duck team
PUBLISHER: Duck team
RELEASE DATE: 8 May, 2021","8 May, 2021",Indie Adventure Pixel Graphics Controller 2D +,11.0
26,Action Entities,,,,,,(11 reviews),Action Entities,Action Entities,Positive,,"TITLE: Action Entities
GENRE: Action, Massively Multiplayer
DEVELOPER: Action Entities
PUBLISHER: Action Entities
FRANCHISE: Action Entities
RELEASE DATE: 6 Aug, 2021
EARLY ACCESS RELEASE DATE: 12 Apr, 2019","6 Aug, 2021",Action Shooter Survival Horror Arena Shooter +,
27,Something Ate My Alien,,,,,,(36 reviews),Rokabium Games,Rokabium Games,Positive,,"TITLE: Something Ate My Alien
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Rokabium Games
PUBLISHER: Rokabium Games
RELEASE DATE: 18 Jun, 2020","18 Jun, 2020",Metroidvania 2D Platformer Puzzle Platformer +,
28,The Jolly Gang's Misadventures in Africa / Масяня в полной Африке,,,,,,(40 reviews),Alawar Stargaze,Alawar Entertainment,Positive,,"TITLE: The Jolly Gang's Misadventures in Africa / Масяня в полной Африке
GENRE: Adventure, Casual, Indie
DEVELOPER: Alawar Stargaze
PUBLISHER: Alawar Entertainment
RELEASE DATE: 2 Nov, 2011","2 Nov, 2011",Adventure Casual Indie Point & Click +,
29,Super Tennis Blast,,,,,,(53 reviews),Unfinished Pixel,Unfinished Pixel,Mostly Positive,,"TITLE: Super Tennis Blast
GENRE: Casual, Indie, Sports
DEVELOPER: Unfinished Pixel
PUBLISHER: Unfinished Pixel
FRANCHISE: Super Blast
RELEASE DATE: 24 May, 2019
EARLY ACCESS RELEASE DATE: 20 Mar, 2019","24 May, 2019",Sports Casual Indie Tennis Local Multiplayer +,
30,Soul of Giga,Bundle info,,,,,(27 reviews),Goody Pundit,KPL,Mostly Positive,,"TITLE: Soul of Giga
GENRE: Action, Adventure, Casual, RPG, Strategy
DEVELOPER: Goody Pundit
PUBLISHER: KPL
RELEASE DATE: 5 Mar, 2021","5 Mar, 2021",Casual Turn-Based Tactics Creature Collector +,
31,Lover Bands,Bundle info,,,,,(17 reviews),Paper Fan Games,Paper Fan Games,Positive,,"TITLE: Lover Bands
GENRE: Action
DEVELOPER: Paper Fan Games
PUBLISHER: Paper Fan Games
RELEASE DATE: 19 Apr, 2019","19 Apr, 2019",Action Platformer Co-op Puzzle Platformer +,
32,Saint Hazel's Horsepital,,,,Free to Play,,(16 reviews),HYPH-N,Danvik FHS,Positive,,"TITLE: Saint Hazel's Horsepital
GENRE: Action, Indie
DEVELOPER: HYPH-N
PUBLISHER: Danvik FHS
RELEASE DATE: 6 May, 2019","6 May, 2019",Action Indie Funny +,
33,The Myth Seekers 2: The Sunken City,Bundle info,,,,,(34 reviews),Sunward Games,Artifex Mundi,Mostly Positive,,"TITLE: The Myth Seekers 2: The Sunken City
GENRE: Adventure, Casual
DEVELOPER: Sunward Games
PUBLISHER: Artifex Mundi
FRANCHISE: AM Hidden Object Games
RELEASE DATE: 13 Jun, 2019","13 Jun, 2019",Adventure Casual Hidden Object Story Rich +,
34,Game Of Puzzles: Nature,Bundle info,,,,,(21 reviews),Snkl Studio,Snkl Studio,Positive,,"TITLE: Game Of Puzzles: Nature
GENRE: Casual, Indie, Strategy
DEVELOPER: Snkl Studio
PUBLISHER: Snkl Studio
FRANCHISE: Game Of Puzzles
RELEASE DATE: 11 Apr, 2019","11 Apr, 2019",Indie Casual Strategy Puzzle Education +,
35,Radiant Arc,,,,,,(17 reviews),Linky317,YuBui Studios,Positive,,"TITLE: Radiant Arc
GENRE: Adventure, Indie, RPG
DEVELOPER: Linky317, Ori
PUBLISHER: YuBui Studios
RELEASE DATE: 30 May, 2019","30 May, 2019",RPGMaker JRPG Adventure Indie RPG +,
36,Devious Dungeon 2,Bundle info,,,,,(41 reviews),Woblyware,Ratalaika Games S.L.,Positive,,"TITLE: Devious Dungeon 2
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Woblyware, Ratalaika Games S.L.
PUBLISHER: Ratalaika Games S.L.
FRANCHISE: Ratalaika Games S.L.
RELEASE DATE: 21 Oct, 2020","21 Oct, 2020",Side Scroller Hack and Slash Dungeon Crawler +,
37,Nyasha Valkyrie,,,,,,(48 reviews),Zloy Krot Studio,IR Studio,Positive,,"TITLE: Nyasha Valkyrie
GENRE: Casual, Indie
DEVELOPER: Zloy Krot Studio
PUBLISHER: IR Studio
RELEASE DATE: 19 Apr, 2019","19 Apr, 2019",Casual Indie Sexual Content Nudity Anime +,
38,ChessBase 15 Steam Edition,,,,,,(11 reviews),ChessBase GmbH,ChessBase GmbH,Mostly Positive,,"TITLE: ChessBase 15 Steam Edition
GENRE: Strategy
DEVELOPER: ChessBase GmbH
PUBLISHER: ChessBase GmbH
RELEASE DATE: 15 Oct, 2019","15 Oct, 2019",Strategy Chess +,
39,Viking Brothers 5,Bundle info,,,,,(11 reviews),Yustas Game Studio,Alawar Entertainment,Positive,,"TITLE: Viking Brothers 5
GENRE: Adventure, Casual, Indie
DEVELOPER: Yustas Game Studio
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 7 Nov, 2018","7 Nov, 2018",Casual Indie Adventure Time Management +,
40,Ferret Scoundrels,,,,,,(11 reviews),Cryogenic Entertainment,Cryogenic Entertainment,Positive,,"TITLE: Ferret Scoundrels
GENRE: Adventure, Indie, RPG, Early Access
DEVELOPER: Cryogenic Entertainment
PUBLISHER: Cryogenic Entertainment
RELEASE DATE: 9 May, 2019
EARLY ACCESS RELEASE DATE: 9 May, 2019","9 May, 2019",Indie Adventure RPG Early Access Pirates +,
41,Puzzle Pelago - A Drag & Drop Economy,,,,,,(22 reviews),Christopher Mielack,Christopher Mielack,Positive,,"TITLE: Puzzle Pelago - A Drag & Drop Economy
GENRE: Casual, Indie, Simulation
DEVELOPER: Christopher Mielack
PUBLISHER: Christopher Mielack
RELEASE DATE: 29 Apr, 2020","29 Apr, 2020",Casual Indie Simulation Puzzle Colorful +,7.0
42,ReThink | Evolved 3,Bundle info,,,,,(17 reviews),Yaeko,Yaeko,Positive,,"TITLE: ReThink | Evolved 3
GENRE: Casual, Indie
DEVELOPER: Yaeko
PUBLISHER: Yaeko
FRANCHISE: ReThink
RELEASE DATE: 13 May, 2019","13 May, 2019",Puzzle First-Person Logic Singleplayer 3D +,
43,Beam,Bundle info,,,,,(32 reviews),Binary Impact,Binary Impact,Positive,,"TITLE: Beam
GENRE: Action, Adventure, Indie
DEVELOPER: Binary Impact
PUBLISHER: Binary Impact
RELEASE DATE: 29 Sep, 2020","29 Sep, 2020",Indie Action Adventure Puzzle Platformer +,30.0
44,NOTES,Bundle info,,,,,(23 reviews),Miro Jankura,Miro Jankura,Positive,,"TITLE: NOTES
GENRE: Casual, Indie
DEVELOPER: Miro Jankura
PUBLISHER: Miro Jankura
RELEASE DATE: 11 Jul, 2019","11 Jul, 2019",Indie Casual Puzzle Minimalist Relaxing +,
45,Militia 2,Bundle info,,,,,(22 reviews),BrainGoodGames,BrainGoodGames,Positive,,"TITLE: Militia 2
GENRE: Strategy
DEVELOPER: BrainGoodGames
PUBLISHER: BrainGoodGames
RELEASE DATE: 8 Aug, 2019","8 Aug, 2019",Strategy Puzzle Board Game Indie Casual +,
46,Tartapolis,"3,99€",,,Download,,(10 reviews),Fusion Studios,Fusion Studios,Positive,,"TITLE: Tartapolis
GENRE: Action, Adventure, Indie, RPG
DEVELOPER: Fusion Studios
PUBLISHER: Fusion Studios
RELEASE DATE: 12 Feb, 2021","12 Feb, 2021",Exploration Side Scroller Metroidvania Souls-like +,
47,Game Of Puzzles: Dragons,Bundle info,,,,,(48 reviews),Snkl Studio,Snkl Studio,Positive,,"TITLE: Game Of Puzzles: Dragons
GENRE: Casual, Indie, Strategy
DEVELOPER: Snkl Studio
PUBLISHER: Snkl Studio
FRANCHISE: Game Of Puzzles
RELEASE DATE: 9 May, 2019","9 May, 2019",Casual Indie Strategy Puzzle 2D Dragons +,
48,Real Scary,Bundle info,,,,,(35 reviews),Chris Antoni,Chris Antoni,Positive,,"TITLE: Real Scary
GENRE: Adventure, Casual, Indie, Simulation
DEVELOPER: Chris Antoni
PUBLISHER: Chris Antoni
RELEASE DATE: 11 May, 2019","11 May, 2019",Adventure Indie Casual Simulation Horror +,
49,The Cult: Marduk's Longest Night,,,,,,(20 reviews),Neon Sloth Studio,Neon Sloth Studio,Positive,,"TITLE: The Cult: Marduk's Longest Night
GENRE: Adventure, Indie
DEVELOPER: Neon Sloth Studio
PUBLISHER: Neon Sloth Studio
RELEASE DATE: 10 Dec, 2019","10 Dec, 2019",Adventure Indie Gore Point & Click 2D +,
50,The Real Man Summer Championship 2019,,,,,,(12 reviews),SpikyPike,SpikyPike,Positive,,"TITLE: The Real Man Summer Championship 2019
GENRE: Action, Casual, Indie, Sports
DEVELOPER: SpikyPike
PUBLISHER: SpikyPike
RELEASE DATE: 20 Sep, 2019","20 Sep, 2019",Sports Action Indie Casual Story Rich +,
51,Cranked Up,Bundle info,,,,,(13 reviews),BBlack Studio,BBlack Studio,Positive,,"TITLE: Cranked Up
GENRE: Adventure, Indie
DEVELOPER: BBlack Studio
PUBLISHER: BBlack Studio
RELEASE DATE: 13 Jul, 2021
EARLY ACCESS RELEASE DATE: 19 May, 2020","13 Jul, 2021",Indie Adventure Platformer Difficult Physics +,17.0
52,A Sceptic's Guide to Magic,Bundle info,,,,,(30 reviews),Pilgrim Adventures,GrabTheGames,Positive,,"TITLE: A Sceptic's Guide to Magic
GENRE: Adventure, Indie
DEVELOPER: Pilgrim Adventures
PUBLISHER: GrabTheGames
FRANCHISE: GrabTheGames Publishing
RELEASE DATE: 16 Aug, 2019","16 Aug, 2019",Adventure Indie Nudity Gore Detective +,
53,Pon Para and the Great Southern Labyrinth,Bundle info,,,,,(16 reviews),Choice of Games,Choice of Games,Positive,,"TITLE: Pon Para and the Great Southern Labyrinth
GENRE: Adventure, Indie, RPG
DEVELOPER: Choice of Games
PUBLISHER: Choice of Games
RELEASE DATE: 9 May, 2019","9 May, 2019",Adventure Indie RPG Text-Based +,
54,Alice and You in the planet of numbers,Bundle info,,,,,(12 reviews),"Mindware Co.,Ltd.","Mindware Co.,Ltd.",Positive,,"TITLE: Alice and You in the planet of numbers
GENRE: Action, Casual, Indie
DEVELOPER: Mindware Co.,Ltd.
PUBLISHER: Mindware Co.,Ltd.
RELEASE DATE: 6 Mar, 2021","6 Mar, 2021",Action Casual Indie Puzzle Arcade 2D +,
55,Dream Flash,,,,,,(13 reviews),Ramaf Party,Ramaf Party,Positive,,"TITLE: Dream Flash
GENRE: Indie, Early Access
DEVELOPER: Ramaf Party
PUBLISHER: Ramaf Party
RELEASE DATE: 15 May, 2019
EARLY ACCESS RELEASE DATE: 15 May, 2019","15 May, 2019",Indie Early Access +,
56,Ghost Stories,Bundle info,,,,,(43 reviews),AK Studio,AK Studio,Positive,,"TITLE: Ghost Stories
GENRE: Action, Adventure, Indie
DEVELOPER: AK Studio
PUBLISHER: AK Studio
RELEASE DATE: 31 May, 2019","31 May, 2019",Adventure Indie Action Horror Atmospheric +,
57,Voltron: Cubes of Olkarion,,,,,,(23 reviews),Gbanga (Millform),Gbanga (Millform),Positive,,"TITLE: Voltron: Cubes of Olkarion
GENRE: Action, Casual, Indie, Strategy, Early Access
DEVELOPER: Gbanga (Millform)
PUBLISHER: Gbanga (Millform)
RELEASE DATE: 29 Aug, 2019
EARLY ACCESS RELEASE DATE: 29 Aug, 2019","29 Aug, 2019",Multiplayer Strategy Action Indie PvP +,
58,Mundus - Impossible Universe 2,Bundle info,,,,,(21 reviews),Rumbic Studio,HH-Games,Positive,,"TITLE: Mundus - Impossible Universe 2
GENRE: Action, Casual, Indie, Strategy
DEVELOPER: Rumbic Studio
PUBLISHER: HH-Games
FRANCHISE: Match3 Games
RELEASE DATE: 18 May, 2019","18 May, 2019",Casual Strategy Action Indie Match 3 +,
59,Fool!,Bundle info,,,,,(19 reviews),Choice of Games,Choice of Games,Positive,,"TITLE: Fool!
GENRE: Adventure, Indie, RPG
DEVELOPER: Choice of Games
PUBLISHER: Choice of Games
RELEASE DATE: 23 May, 2019","23 May, 2019",Adventure Indie RPG Text-Based +,
60,Jack-In-A-Castle,,,,,,(25 reviews),Nemlei,Nemlei,Positive,,"TITLE: Jack-In-A-Castle
GENRE: Adventure, Casual, Free to Play, Indie, RPG
DEVELOPER: Nemlei
PUBLISHER: Nemlei
RELEASE DATE: 12 Jul, 2019","12 Jul, 2019",Visual Novel Multiple Endings LGBTQ+ Fantasy +,
61,Quest? Quest!,,,,,,(21 reviews),Matthew Bradshaw,Matthew Bradshaw,Positive,,"TITLE: Quest? Quest!
GENRE: Adventure, Indie, RPG
DEVELOPER: Matthew Bradshaw
PUBLISHER: Matthew Bradshaw
RELEASE DATE: 14 Nov, 2020","14 Nov, 2020",RPG Indie Adventure Funny Story Rich +,
62,死亡旅店 / Death Inn,"3,29€",,,,,(40 reviews),橙光游戏,橙光游戏,Positive,,"TITLE: 死亡旅店 / Death Inn
GENRE: Adventure, Casual, Indie, RPG, Strategy
DEVELOPER: 橙光游戏
PUBLISHER: 橙光游戏
RELEASE DATE: 27 Jun, 2019","27 Jun, 2019",Casual RPG Indie Strategy Adventure +,
63,A Night at the Races,,,,,,(16 reviews),Mushy Jukebox,Mushy Jukebox,Positive,,"TITLE: A Night at the Races
GENRE: Action, Casual, Indie
DEVELOPER: Mushy Jukebox
PUBLISHER: Mushy Jukebox
RELEASE DATE: 13 Dec, 2019","13 Dec, 2019",Side Scroller Precision Platformer 2D Platformer +,
64,Climbros,,,,,,(14 reviews),Toucan Studio,Art Games Studio S.A.,Positive,,"TITLE: Climbros
GENRE: Action, Adventure, Casual, Indie, Simulation
DEVELOPER: Toucan Studio
PUBLISHER: Art Games Studio S.A.
RELEASE DATE: 10 Mar, 2020","10 Mar, 2020",Action Adventure Indie Casual Simulation +,
65,Flandre's dream. - 36000 ft deep -,,,,,,(37 reviews),KAWASAKI-BU,"DWANGO Co., Ltd.",Positive,,"TITLE: Flandre's dream. - 36000 ft deep -
GENRE: Indie
DEVELOPER: KAWASAKI-BU
PUBLISHER: DWANGO Co., Ltd.
RELEASE DATE: 8 Aug, 2019","8 Aug, 2019",Indie Faith Anime RPG +,
66,Incredible Dracula 3: Family Secret,Bundle info,,,,,(15 reviews),New Bridge Games,Alawar Entertainment,Positive,,"TITLE: Incredible Dracula 3: Family Secret
GENRE: Adventure, Casual, Indie
DEVELOPER: New Bridge Games
PUBLISHER: Alawar Entertainment
FRANCHISE: Alawar Entertainment
RELEASE DATE: 11 Jan, 2017","11 Jan, 2017",Casual Indie Adventure Time Management +,
67,Musasabi,,,,,,(14 reviews),Ludumify,Ludumify,Positive,,"TITLE: Musasabi
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Ludumify
PUBLISHER: Ludumify
RELEASE DATE: 16 Oct, 2019","16 Oct, 2019",Side Scroller Precision Platformer 2D Platformer +,
68,Weapon Hacker,,,,,,(18 reviews),Luke Rissacher,Luke Rissacher,Positive,,"TITLE: Weapon Hacker
GENRE: Action, Indie
DEVELOPER: Luke Rissacher
PUBLISHER: Luke Rissacher
RELEASE DATE: 8 Jun, 2020","8 Jun, 2020",Indie Action Roguelite Platformer Exploration +,
69,Put In - Run Out,Bundle info,,,,,(48 reviews),Ruskija Game Experience,Tero Lunkka,Positive,,"TITLE: Put In - Run Out
GENRE: Adventure, Casual, Indie
DEVELOPER: Ruskija Game Experience
PUBLISHER: Tero Lunkka
RELEASE DATE: 11 Jun, 2019","11 Jun, 2019",Adventure Indie Casual Nudity Memes +,
70,NOYO-!,,,,,,(22 reviews),MYAOSOFT,MYAOSOFT,Positive,,"TITLE: NOYO-!
GENRE: RPG
DEVELOPER: MYAOSOFT
PUBLISHER: MYAOSOFT
RELEASE DATE: 2 Jul, 2019","2 Jul, 2019",RPG Female Protagonist Pixel Graphics JRPG +,
71,Devil's Deck,,,,,,(169 reviews),Touch Times Studio,Touch Times Studio,Mixed,,"TITLE: Devil's Deck
GENRE: Adventure, Indie, RPG, Strategy, Early Access
DEVELOPER: Touch Times Studio
PUBLISHER: Touch Times Studio, HeyBox Interactive
RELEASE DATE: 17 Sep, 2019
EARLY ACCESS RELEASE DATE: 17 Sep, 2019","17 Sep, 2019",Roguelike Deckbuilder Indie RPG Strategy +,
72,Ghost Parade,,,,,,(19 reviews),Lentera Nusantara,Aksys Games,Positive,,"TITLE: Ghost Parade
GENRE: Action, Adventure, Indie
DEVELOPER: Lentera Nusantara
PUBLISHER: Aksys Games
RELEASE DATE: 31 Oct, 2019","31 Oct, 2019",Action Indie RPG Adventure Story Rich +,
73,ATTACK OF THE EVIL POOP,,,,,,(20 reviews),Ascend Digitally,Ascend Digitally,Positive,,"TITLE: ATTACK OF THE EVIL POOP
GENRE: Action, Casual
DEVELOPER: Ascend Digitally, Alejandro Navarro
PUBLISHER: Ascend Digitally
RELEASE DATE: 9 Jul, 2019","9 Jul, 2019",Action Casual Shooter Memes Arcade +,
74,Seals of the Bygone,,,,,,(27 reviews),rologfos,rologfos,Positive,,"TITLE: Seals of the Bygone
GENRE: Action, Adventure, Indie, RPG, Early Access
DEVELOPER: rologfos
PUBLISHER: rologfos
RELEASE DATE: 13 Mar, 2020
EARLY ACCESS RELEASE DATE: 13 Mar, 2020","13 Mar, 2020",Indie Early Access Action RPG Adventure +,8.0
75,Cardboard Ground,,,,,,(14 reviews),Matt Close,Matt Close,Positive,,"TITLE: Cardboard Ground
GENRE: Adventure, Indie
DEVELOPER: Matt Close
PUBLISHER: Matt Close
RELEASE DATE: 27 Jan, 2020","27 Jan, 2020",Adventure Indie Surreal Dark Humor 2D +,
76,7 Lives,,,,,,(16 reviews),jota-gil,Tbardo Games,Mixed,,"TITLE: 7 Lives
GENRE: Casual, Indie
DEVELOPER: jota-gil
PUBLISHER: Tbardo Games
RELEASE DATE: 20 Jun, 2019","20 Jun, 2019",Indie Casual Visual Novel Drama Thriller +,
